tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10090	Mus musculus	11651	0	live	Akt1	Akt, LTR-akt, PKB, PKB/Akt, PKBalpha, Rac	thymoma viral proto-oncogene 1	RAC-alpha serine/threonine-protein kinase|AKT1 kinase|Akt1m protein|PKB alpha|RAC-PK-alpha|protein kinase B-alpha|proto-oncogene c-AKT|related to A and C kinases|tumor rejection antigen peptide pRLib	12 61.2 cM	12	NC_000078.6	112653821	112674884	minus	16		
10090	Mus musculus	11689	0	live	Alox5	5-LO, 5-LOX, 5LO, 5LX, AI850497, F730011J02	arachidonate 5-lipoxygenase	arachidonate 5-lipoxygenase|5-lipoxygenase	6 53.79 cM	6	NC_000072.6	116410071	116461178	minus	14		
10090	Mus musculus	11737	0	live	Anp32a	Anp32, I1PP2A, LANP, PHAP1, W91701, pp32	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	acidic leucine-rich nuclear phosphoprotein 32 family member A|acidic nuclear phosphoprotein 32|acidic nuclear phosphoprotein pp32|leucine-rich acidic nuclear protein|potent heat-stable protein phosphatase 2A inhibitor I1PP2A|vacidic (leucine-rich) nuclear phosphoprotein 32 family, member A	9 33.68 cM	9	NC_000075.6	62341343	62378804	plus	8		
10090	Mus musculus	11789	0	live	Apc	AI047805, AU020952, AW124434, CC1, Min, mAPC	APC, WNT signaling pathway regulator	adenomatous polyposis coli protein|adenomatosis polyposis coli|multiple intestinal neoplasia	18 18.53 cM	18	NC_000084.6	34220297	34322190	plus	19		
10090	Mus musculus	80287	0	live	Apobec3	Apobec, Arp3, BC003314, Cem15, Gm20117, Rfv3	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3	DNA dC->dU-editing enzyme APOBEC-3|apolipoprotein B editing complex 3|apolipoprotein B mRNA-editing complex 3|recovery from Friend virus 3	15 37.85 cM	15	NC_000081.6	79892058	79918218	plus	13		
10090	Mus musculus	103161	0	live	Apof	AI255964	apolipoprotein F	apolipoprotein F|LVIF|apo-F|leukemia virus-inactivating factor	10 76.5 cM	10	NC_000076.6	128268699	128271250	plus	2		
10090	Mus musculus	11838	0	live	Arc	Arc3.1, C86064, arg3.1, mArc	activity regulated cytoskeletal-associated protein	activity-regulated cytoskeleton-associated protein|ARC/ARG3.1|activity-regulated gene 3.1 protein homolog|arc	15 34.25 cM	15	NC_000081.6	74669081	74672570	minus	3		
10090	Mus musculus	69632	0	live	Arhgef12	2310014B11Rik, AU019857, Larg, mKIAA0382	Rho guanine nucleotide exchange factor (GEF) 12	rho guanine nucleotide exchange factor 12|leukemia-associated Rho guanine-nucleotide exchange factor|leukemia-associated RhoGEF	9 A5.1	9	NC_000075.6	42963842	43105718	minus	42		
10090	Mus musculus	77044	0	live	Arid2	1700124K17Rik, 4432409D24Rik, BAF200, zipzap/p200	AT rich interactive domain 2 (ARID, RFX-like)	AT-rich interactive domain-containing protein 2|ARID domain-containing protein 2|AT rich interactive domain 2 (Arid-rfx like)|BRG1-associated factor 200|zinc finger protein with activation potential|zipzap	15 F1	15	NC_000081.6	96287522	96405463	plus	21		
10090	Mus musculus	238247	0	live	Arid4a	A630009N03, A630067N03Rik, Rbbp1	AT rich interactive domain 4A (RBP1-like)	AT-rich interactive domain-containing protein 4A|ARID domain-containing protein 4A|AT rich interactive domain 4A (Rbp1 like)|retinoblastoma-binding protein 1	12 C2	12	NC_000078.6	71015081	71099351	plus	27		
10090	Mus musculus	94246	0	live	Arid4b	BCAA, BRCAA1, RBBP1L1, Rbp1l1, SAP180	AT rich interactive domain 4B (RBP1-like)	AT-rich interactive domain-containing protein 4B|180 kDa Sin3-associated polypeptide|ARID domain-containing protein 4B|breast cancer-associated antigen|histone deacetylase complex subunit SAP180|retinoblastoma binding protein 1-like 1|sin3-associated polypeptide p180	13 5.29 cM	13	NC_000079.6	14063609	14199603	plus	28		
10090	Mus musculus	71371	0	live	Arid5b	4930580B11, 5430435G07Rik, AI467247, Desrt, Mrf2, Mrf2alpha, Mrf2beta	AT rich interactive domain 5B (MRF1-like)	AT-rich interactive domain-containing protein 5B|ARID class DNA binding protein|ARID domain-containing protein 5B|AT rich interactive domain 5B (Mrf1 like)|MRF-2|developmentally and sexually retarded with transient immune abnormalities protein|modulator recognition factor 2|modulator recognition factor protein 2	10 B5.2	10	NC_000076.6	68092523	68279355	minus	12		
10090	Mus musculus	11865	0	live	Arntl	Arnt3, BMAL1b, Bmal1, MOP3, bHLHe5, bmal1b'	aryl hydrocarbon receptor nuclear translocator-like	aryl hydrocarbon receptor nuclear translocator-like protein 1|brain and muscle ARNT-like 1	7 59.17 cM	7	NC_000073.6	113178471	113314126	plus	25		
10090	Mus musculus	192195	0	live	Ash1l	8030453L17Rik, Ash1, E430018P19Rik, Kmt2h	ASH1 like histone lysine methyltransferase	histone-lysine N-methyltransferase ASH1L|ASH1-like protein|absent small and homeotic disks protein 1 homolog|absent, small, or homeotic discs 1|ash1 (absent, small, or homeotic)-like|chromatin remodeling factor|probable histone-lysine N-methyltransferase ASH1L	3 F1	3	NC_000069.6	88950414	89079375	plus	32		
10090	Mus musculus	75302	0	live	Asxl2	4930556B16Rik, mKIAA1685	additional sex combs like 2, transcriptional regulator	putative Polycomb group protein ASXL2|additional sex combs like 2|additional sex combs-like protein 2|polycomb group protein ASXH2 homolog	12 A1.1	12	NC_000078.6	3426857	3510811	plus	16		
10090	Mus musculus	11911	0	live	Atf4	Atf-4, C/ATF, CREB2, TAXREB67	activating transcription factor 4	cyclic AMP-dependent transcription factor ATF-4|c/EBP-related ATF|cAMP-dependent transcription factor ATF-4|tax-responsive enhancer element-binding protein 67 homolog|taxREB67 homolog	15 37.85 cM	15	NC_000081.6	80255184	80257545	plus	4		
10090	Mus musculus	11793	0	live	Atg5	2010107M05Rik, 3110067M24Rik, AW319544, Apg5ll, C88337, Paddy, Atg5	autophagy related 5	autophagy protein 5	10 23.24 cM	10	NC_000076.6	44268322	44364299	plus	9		
10090	Mus musculus	11920	0	live	Atm	AI256621, C030026E19Rik	ataxia telangiectasia mutated	serine-protein kinase ATM|A-T mutated homolog|ataxia telangiectasia gene mutated in human beings|ataxia telangiectasia mutated homolog	9 29.12 cM	9	NC_000075.6	53437122	53536828	minus	63		
10090	Mus musculus	50770	0	live	Atp11a	4930558F19Rik, AU040868, Atpc1h, Ih	ATPase, class VI, type 11A	probable phospholipid-transporting ATPase IH|9130422H11Rik|ATPase 11A, class VI|ATPase 11A, p type|ATPase, class 1, member h|P4-ATPase flippase complex alpha subunit ATP11A	8 A1.1	8	NC_000074.6	12757016	12868728	plus	30		
10090	Mus musculus	53625	0	live	B3gnt2	AA408337, AA409404, AW260308, B3Galt6, B3gnt1, BGnT-1, BGnT-2, BGnT1, BGnT2, Beta3gnt	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2|UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 6|UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1|beta-1,3-Gn-T1|beta-1,3-Gn-T2|beta-1,3-N-acetylglucosaminyltransferase 1|beta-1,3-N-acetylglucosaminyltransferase 2|beta3Gn-T1|beta3Gn-T2	11 14.22 cM	11	NC_000077.6	22834739	22860336	minus	3		
10090	Mus musculus	118452	0	live	Baalc	2810457D07Rik	brain and acute leukemia, cytoplasmic	brain and acute leukemia cytoplasmic protein	15 15.18 cM	15	NC_000081.6	38933909	38952917	plus	2		
10090	Mus musculus	12014	0	live	Bach2	E030004N02Rik	BTB and CNC homology, basic leucine zipper transcription factor 2	transcription regulator protein BACH2|BTB and CNC homolog 2|BTB and CNC homology 2|Transcription regulator protein BACH2 (BTB and CNC homolog 2)	4 A5	4	NC_000070.6	32238413	32586109	plus	13		
10090	Mus musculus	53314	0	live	Batf	B-ATF, SFA-2	basic leucine zipper transcription factor, ATF-like	basic leucine zipper transcriptional factor ATF-like|B-cell-activating transcription factor|activating transcription factor B|basic leucine zipper transcription factor-like	12 D2	12	NC_000078.6	85686720	85709087	plus	3		
10090	Mus musculus	12036	0	live	Bcat2	Bcat(m), Bcat-2, Eca40	branched chain aminotransferase 2, mitochondrial	branched-chain-amino-acid aminotransferase, mitochondrial	7 29.36 cM	7	NC_000073.6	45568967	45589710	plus	12		
10090	Mus musculus	12042	0	live	Bcl10	AI132454, BCL-10, C81403, CARMEN, CIPER, CLAP, ME10, cE10	B cell leukemia/lymphoma 10	B-cell lymphoma/leukemia 10|B-cell CLL/lymphoma 10|CARD-containing molecule enhancing NF-kappa-B|CARD-like apoptotic protein|CED-3/ICH-1 prodomain homologous E10-like regulator|cellular homolog of vCARMEN|cellular-E10|mammalian CARD-containing adapter molecule E10	3 H2	3	NC_000069.6	145924262	145934366	plus	3		
10090	Mus musculus	14025	0	live	Bcl11a	2810047E18Rik, BCL-11A, Ctip1, D930021L15Rik, Evi9, Evi9a, Evi9b, Evi9c, mKIAA1809	B cell CLL/lymphoma 11A (zinc finger protein)	B-cell lymphoma/leukemia 11A|B-cell CLL/lymphoma 11A|COUP-TF interacting protein 1|EVI-9|ecotropic viral integration site 9 protein|myeloid leukemia	11 A3.2	11	NC_000077.6	24076564	24173558	plus	9		
10090	Mus musculus	58208	0	live	Bcl11b	9130430L19Rik, AI604821, B630002E05Rik, BCL-11B, Ctip2, Rit1	B cell leukemia/lymphoma 11B	B-cell lymphoma/leukemia 11B|B-cell CLL/lymphoma 11B|B-cell lymphoma/leukaemia 11B|COUP-TF-interacting protein 2|mRit1|radiation-induced tumor suppressor gene 1 protein	12 59.1 cM	12	NC_000078.6	107910403	108004145	minus	9		
10090	Mus musculus	12043	0	live	Bcl2	AW986256, Bcl-2, C430015F12Rik, D630044D05Rik, D830018M01Rik	B cell leukemia/lymphoma 2	apoptosis regulator Bcl-2	1 49.76 cM	1	NC_000067.6	106538176	106714290	minus	2		
10090	Mus musculus	12044	0	live	Bcl2a1a	A1, BB218357, Bcl2a1, Bfl-1, Hbpa1	B cell leukemia/lymphoma 2 related protein A1a	bcl-2-related protein A1|A1-A|hemopoietic-specific early response protein|protein BFL-1	9 47.24 cM	9	NC_000075.6	88956920	88962416	plus	2		
10090	Mus musculus	12045	0	live	Bcl2a1b	A1-b	B cell leukemia/lymphoma 2 related protein A1b	B-cell leukemia/lymphoma 2 related protein A1b|anti-apoptotic protein A1-b	9 E3.1	9	NC_000075.6	89199273	89207838	plus	2		
10090	Mus musculus	12046	0	live	Bcl2a1c	A1-c	B cell leukemia/lymphoma 2 related protein A1c	B cell leukemia/lymphoma 2 related protein A1c|hematopoietic-specific early-response A1-c protein	9 F3	9	NC_000075.6	114330135	114330578	plus	1		
10090	Mus musculus	12047	0	live	Bcl2a1d	A1-d	B cell leukemia/lymphoma 2 related protein A1d	B cell leukemia/lymphoma 2 related protein A1d	9 E3.1	9	NC_000075.6	88723288	88731850	minus	2		
10090	Mus musculus	12048	0	live	Bcl2l1	Bcl(X)L, Bcl-XL, Bcl2l, BclX, bcl-x, bcl2-L-1	BCL2-like 1	bcl-2-like protein 1|B-cell leukemia/lymphoma x|anti-apoptosis regulatory protein|apoptosis regulator Bcl-X	2 H1	2	NC_000068.7	152758732	152833803	minus	7		
10090	Mus musculus	12125	0	live	Bcl2l11	1500006F24Rik, Bim, Bod, bcl2-L-11	BCL2-like 11 (apoptosis facilitator)	bcl-2-like protein 11|Bcl2 interacting mediator of cell death|bcl2-interacting mediator of cell death	2 F1	2	NC_000068.7	128126038	128162547	plus	7		
10090	Mus musculus	12051	0	live	Bcl3	AI528691, Bcl-3	B cell leukemia/lymphoma 3	B-cell lymphoma 3 protein homolog|B-cell CLL/lymphoma 3	7 9.95 cM	7	NC_000073.6	19808462	19822824	minus	9		
10090	Mus musculus	12053	0	live	Bcl6	Bcl5	B cell leukemia/lymphoma 6	B-cell lymphoma 6 protein homolog|B-cell leukemia/lymphoma 5	16 15.26 cM	16	NC_000082.6	23965050	23988866	minus	12		
10090	Mus musculus	12055	0	live	Bcl7c	C230096E12Rik	B cell CLL/lymphoma 7C	B-cell CLL/lymphoma 7 protein family member C|B-cell chronic lymphocytic leukemia/lymphoma 7C protein	7 F3	7	NC_000073.6	127661454	127708766	minus	7		
10090	Mus musculus	72567	0	live	Bclaf1	2610102K23Rik, 2700025J07Rik, 2810454G14Rik, 5730534O06Rik, AI450190, AW556225, Btf, mKIAA0164	BCL2-associated transcription factor 1	bcl-2-associated transcription factor 1	10 A3	10	NC_000076.6	20310512	20342644	plus	13		
10090	Mus musculus	71458	0	live	Bcor	2900008C10Rik, 5830466J11Rik, 8430401K06RikR, D930024N20Rik, mKIAA1575, Bcor	BCL6 interacting corepressor	BCL-6 corepressor	X A1.1	X	NC_000086.7	12036737	12160516	minus	22		
10090	Mus musculus	110279	0	live	Bcr	5133400C09Rik, AI561783, AI853148, mKIAA3017	BCR activator of RhoGEF and GTPase	breakpoint cluster region protein|breakpoint cluster region homolog	10 38.49 cM	10	NC_000076.6	75060560	75184923	plus	25		
10090	Mus musculus	79362	0	live	Bhlhe41	6430520M22Rik, Bhlhb2l, Bhlhb3, DEC2, Sharp1	basic helix-loop-helix family, member e41	class E basic helix-loop-helix protein 41|bHLH transcriptional factor Dec2|basic helix-loop-helix domain containing, class B3|class B basic helix-loop-helix protein 3|differentially expressed in chondrocytes protein 2	6 77.7 cM	6	NC_000072.6	145858243	145865420	minus	5		
10090	Mus musculus	12143	0	live	Blk		B lymphoid kinase	tyrosine-protein kinase Blk|b lymphocyte kinase|p55-Blk	14 33.25 cM	14	NC_000080.6	63372837	63417187	minus	13		
10090	Mus musculus	17060	0	live	Blnk	BASH, Bca, Ly-57, Ly57, Lyw-57, SLP-65	B cell linker	B-cell linker protein|B-cell adapter containing a SH2 domain protein|B-cell adapter containing a Src homology 2 domain protein|cytoplasmic adapter protein|lymphocyte antigen 57|src homology 2 domain-containing leukocyte protein of 65 kDa	19 34.26 cM	19	NC_000085.6	40928927	40994221	minus	17		
10090	Mus musculus	12151	0	live	Bmi1	AW546694, Bmi-1, Pcgf4	Bmi1 polycomb ring finger oncogene	polycomb complex protein BMI-1|B lymphoma Mo-MLV insertion region 1|polycomb group RING finger protein 4|polycomb group ring finger 4	2 12.9 cM	2	NC_000068.7	18677018	18686629	plus	12		
10090	Mus musculus	12156	0	live	Bmp2	AI467020a, Bmp2	bone morphogenetic protein 2	bone morphogenetic protein 2|bone morphogenetic protein 2A	2 65.21 cM	2	NC_000068.7	133552159	133562896	plus	3		
10090	Mus musculus	12176	0	live	Bnip3	Nip3	BCL2/adenovirus E1B interacting protein 3	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3|BCL2/adenovirus E1B 19 kDa-interacting protein 1, NIP3|BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP3|BCL2/adenovirus E1B interacting protein 1, NIP3	7 F4	7	NC_000073.6	138890836	138909506	minus	6		
10090	Mus musculus	109880	0	live	Braf	9930012E13Rik, AA120551, AA387315, AA473386, B-raf-2, Braf2, C230098H17, C87398, D6Ertd631e, Braf	Braf transforming gene	serine/threonine-protein kinase B-raf|B-Raf proto-oncogene serine/threonine-protein kinase (p94)|proto-oncogene B-Raf	6 18.43 cM	6	NC_000072.6	39603231	39725658	minus	21		
10090	Mus musculus	57261	0	live	Brd4	Brd5, HUNK1, MCAP, WI-11513	bromodomain containing 4	bromodomain-containing protein 4|bromodomain-containing 5|fsh-like protein|mitotic chromosome-associated protein	17 17.39 cM	17	NC_000083.6	32196272	32284743	minus	25		
10090	Mus musculus	382236	0	live	Brwd3	Brodl, D030064D06Rik, Gm10452, Gm596	bromodomain and WD repeat domain containing 3	bromodomain and WD repeat-containing protein 3|bromo domain-containing protein disrupted in leukemia	X D	X	NC_000086.7	108735845	108834362	minus	41		
10090	Mus musculus	192120	0	live	Bspry		B-box and SPRY domain containing	B box and SPRY domain-containing protein|zetin 1	4 B3	4	NC_000070.6	62480011	62497300	plus	6		
10090	Mus musculus	69550	0	live	Bst2	2310015I10Rik, Bst-2, C87040, CD317, DAMP-1, GREG	bone marrow stromal cell antigen 2	bone marrow stromal antigen 2|DAMP-1 protein homolog|HM1.24 antigen|tetherin	8 B3.3	8	NC_000074.6	71534255	71537472	minus	5		
10090	Mus musculus	12226	0	live	Btg1	AI426953, AW546738	BTG anti-proliferation factor 1	protein BTG1|B cell translocation gene 1, anti-proliferative|B-cell translocation gene 1 protein	10 C3	10	NC_000076.6	96617001	96622813	plus	2		
10090	Mus musculus	12229	0	live	Btk	AI528679, xid	Bruton agammaglobulinemia tyrosine kinase	tyrosine-protein kinase BTK|ATK|B-cell progenitor kinase|BPK|Bruton's tyrosine kinase|Tyrosine-protein kinase BTK (Brutons tyrosine kinase) (Agammaglobulinaemia tyrosine kinase) (ATK) (B cell progenitor kinase) (BPK) (Kinase EMB)|X-linked immune deficiency|agammaglobulinaemia tyrosine kinase|agammaglobulinemia tyrosine kinase|bruton tyrosine kinase|kinase EMB	X 56.18 cM	X	NC_000086.7	134542334	134583628	minus	21		
10090	Mus musculus	58226	0	live	Cacna1h	Cav3.2, MNCb-1209, alpha13.2	calcium channel, voltage-dependent, T type, alpha 1H subunit	voltage-dependent T-type calcium channel subunit alpha-1H|T-type Cav3.2|calcium channel alpha13.2 subunit|low-voltage-activated calcium channel alpha13.2 subunit|voltage-gated calcium channel subunit alpha Cav3.2	17 12.53 cM	17	NC_000083.6	25374285	25436334	minus	36		
10090	Mus musculus	12298	0	live	Cacnb4	3110038O15Rik, Cchb4, lh	calcium channel, voltage-dependent, beta 4 subunit	voltage-dependent L-type calcium channel subunit beta-4|CAB4|calcium channel voltage-dependent subunit beta 4	2 29.98 cM	2	NC_000068.7	52428320	52676609	minus	16		
10090	Mus musculus	12301	0	live	Cacybp	SIP	calcyclin binding protein	calcyclin-binding protein|siah-interacting protein	1 H2.1	1	NC_000067.6	160202367	160212892	minus	6		
10090	Mus musculus	54725	0	live	Cadm1	2900073G06Rik, 3100001I08Rik, AI987920, Bl2, Igsf4, Igsf4a, Necl2, RA175, RA175A, RA175B, RA175C, RA175N, ST17, SgIGSF, SynCam, Tslc1	cell adhesion molecule 1	cell adhesion molecule 1|NECL-2|TSLC-1|cadm1|cell adhesion molecule 1 transcript variant 8abc|immunoglobulin superfamily member 4|immunoglobulin superfamily member 4A|immunosuperfamily protein Bl2|nectin-like 2|nectin-like protein 2|spermatogenic immunoglobulin superfamily|synaptic cell adhesion molecule|tumor suppressor in lung cancer 1	9 A5.3	9	NC_000075.6	47530170	47862280	plus	15		
10090	Mus musculus	80796	0	live	Calm4	2310037J09Rik, AI649108, DD112, Scarf	calmodulin 4	calmodulin-4|calcium binding gene, DD112|calcium-binding protein Dd112|skin calmodulin-related factor	13 A1	13	NC_000079.6	3837757	3838671	plus	1		
10090	Mus musculus	12337	0	live	Capn5	nCL-3	calpain 5	calpain-5|new calpain 3	7 E1	7	NC_000073.6	98121559	98178946	minus	21		
10090	Mus musculus	12367	0	live	Casp3	A830040C14Rik, AC-3, CASP-3, CC3, CPP-32, CPP32, Caspase-3, Lice, SCA-1, Yama, mldy	caspase 3	caspase-3|SREBP cleavage activity 1|apopain|caspase 3, apoptosis related cysteine protease|cysteine protease CPP32|protein Yama	8 26.39 cM	8	NC_000074.6	46617291	46639698	plus	8		
10090	Mus musculus	12398	0	live	Cbfa2t3	A630044F12Rik, AI465270, AW229127h, ETO-2, Eto2, MTGR2, Cbfa2t3	CBFA2/RUNX1 translocation partner 3	protein CBFA2T3|ETO/MTG8-related protein ETO-2|MTG8-related protein 2|eight twenty one protein 2|myeloid translocation gene-related protein 2	8 E1	8	NC_000074.6	122625136	122699332	minus	15		
10090	Mus musculus	12400	0	live	Cbfb	AI893578, PEA2, PEBP2b, Pebp2, Pebpb2	core binding factor beta	core-binding factor subunit beta|CBF-beta|PEA2-beta|PEBP2-beta|SL3-3 enhancer factor 1 subunit beta|SL3/AKV core-binding factor beta subunit|polyomavirus enhancer-binding protein 2 beta subunit	8 53.04 cM	8	NC_000074.6	105170674	105217989	plus	6		
10090	Mus musculus	12402	0	live	Cbl	4732447J05Rik-2, c-Cbl, cbl, Cbl	Casitas B-lineage lymphoma	E3 ubiquitin-protein ligase CBL|RING-type E3 ubiquitin transferase CBL|casitas B-lineage lymphoma proto-oncogene|proto-oncogene c-CBL|signal transduction protein CBL	9 24.72 cM	9	NC_000075.6	44142976	44234259	minus	17		
10090	Mus musculus	12419	0	live	Cbx5	2610029O15Rik, C75991, HP1, Hp1a, Hp1alpha	chromobox 5	chromobox protein homolog 5|HP1 alpha|chromobox homolog 5|heterochromatin protein 1 alpha|heterochromatin protein 1 homolog alpha|mHP1(alpha)	15 F3	15	NC_000081.6	103191546	103239904	minus	7		
10090	Mus musculus	20296	0	live	Ccl2	AI323594, HC11, JE, MCAF, MCP-1, MCP1, SMC-CF, Scya2, Sigje	chemokine (C-C motif) ligand 2	C-C motif chemokine 2|monocyte chemoattractant protein 1|monocyte chemotactic protein 1|platelet-derived growth factor-inducible protein JE|small-inducible cytokine A2	11 49.82 cM	11	NC_000077.6	82035577	82037452	plus	3		
10090	Mus musculus	20302	0	live	Ccl3	AI323804, G0S19-1, LD78alpha, MIP-1alpha, MIP1-(a), MIP1-alpha, Mip1a, Scya3	chemokine (C-C motif) ligand 3	C-C motif chemokine 3|L2G25B|MIP-1-alpha|MIP1 (a)|SIS-alpha|TY-5|heparin-binding chemotaxis protein|macrophage inflammatory protein 1-alpha|macrophage inflammatory protein-1alpha|small-inducible cytokine A3	11 51.04 cM	11	NC_000077.6	83647843	83649378	minus	3		
10090	Mus musculus	14219	0	live	Ccn2	Ctgf, Fisp12, Hcs24, fisp-12	cellular communication network factor 2	CCN family member 2|Connective tissue growth factor precursor (CTGF) (FISP-12 protein) (Hypertrophic chondrocyte-specific protein 24)|cellular communication network factor 1|fibroblast inducible secreated protein|fibroblast inducible secreted protein|hypertrophic chondrocyte-specific gene product 24|hypertrophic chondrocyte-specific protein 24	10 11.84 cM	10	NC_000076.6	24595442	24598683	plus	5		
10090	Mus musculus	18133	0	live	Ccn3	C130088N23Rik, Nov	cellular communication network factor 3	CCN family member 3|nephroblastoma overexpressed|nephroblastoma-overexpressed gene protein homolog|novH|protein NOV homolog	15 21.49 cM	15	NC_000081.6	54745910	54753762	plus	5		
10090	Mus musculus	12443	0	live	Ccnd1	AI327039, CycD1, Cyl-1, PRAD1, bcl-1, cD1	cyclin D1	G1/S-specific cyclin-D1	7 88.92 cM	7	NC_000073.6	144929931	144939937	minus	5		
